Reg No,Gender,Cg,Week One,Week Two,Week Three
202,female,2.0,1607191200000,1605981600000,1606586400000
2016615144,female,3.38,1607796000000,1606068000000,1606672800000
2016331099,male,3.8,1605981600000,1606586400000,1607450400000
2016331068,male,3.22,1605981600000,1606586400000,1607191200000
2016331066,male,3.0,1605376800000,1606586400000,1607191200000
2016331012,male,3.61,1605376800000,1605981600000,1606586400000
2016331037,male,3.14,1605981600000,1606586400000,1607191200000
2016331089,female,3.64,1605376800000,1605981600000,1606586400000
2016331049,male,3.08,1605376800000,1605981600000,1606586400000
2016331102,male,3.6,1605376800000,1605981600000,1606586400000
2016331072,male,3.91,1609610400000,1608400800000,1609005600000
510418137,female,1.0,1609610400000,1610215200000,1610820000000
2016331048,male,3.68,1610215200000,1610820000000,1611424800000
2016331080,male,3.06,1610215200000,1610820000000,1611424800000
2017333520,male,3.0,1610215200000,1610820000000,1611424800000
2015135051,male,3.4,1610215200000,1610820000000,1611424800000
2016331031,male,3.52,1612029600000,1610820000000,1611424800000
46039,male,3.07,1610215200000,1610820000000,1611252000000
46323,male,3.79,1610215200000,1610820000000,1611424800000
2016331096,male,3.7,1610215200000,1610820000000,1611424800000
